stock_ticker,timestamp,close_price
000001,2025-04-01,24.9816
000001,2025-04-02,25.3686
000001,2025-04-03,25.9837
000001,2025-04-04,26.157
000001,2025-04-07,26.3316
000001,2025-04-08,26.9848
000001,2025-04-09,27.4351
000001,2025-04-10,27.5536
000001,2025-04-11,27.9515
000001,2025-04-14,28.0739
000001,2025-04-15,28.1962
000002,2025-04-01,22.1697
000002,2025-04-02,21.7983
000002,2025-04-03,21.6865
000002,2025-04-04,21.4776
000002,2025-04-07,21.5557
000002,2025-04-08,21.3706
000002,2025-04-09,21.0794
000002,2025-04-10,21.3988
000002,2025-04-11,21.3611
000002,2025-04-14,21.3861
000002,2025-04-15,21.092
000003,2025-04-01,33.6966
000003,2025-04-02,33.0031
000003,2025-04-03,32.8277
000003,2025-04-04,32.3327
000003,2025-04-07,31.9451
000003,2025-04-08,31.4631
000003,2025-04-09,31.7605
000003,2025-04-10,31.4681
000003,2025-04-11,30.8499
000003,2025-04-14,30.8238
000003,2025-04-15,30.1679
